season,week,home_team,away_team,home_points,away_points,spread,neutral_site,venue,favorite,underdog,winner,underdog_win
2019,1,San José State,Northern Colorado,35,18,0.0,False,CEFCU Stadium,Northern Colorado,San José State,San José State,1
2019,1,Arizona State,Kent State,30,7,0.0,False,Mountain America Stadium,Kent State,Arizona State,Arizona State,1
2019,1,BYU,Utah,12,30,0.0,False,LaVell Edwards Stadium,Utah,BYU,Utah,0
2019,1,Army,Rice,14,7,0.0,False,Michie Stadium,Rice,Army,Army,1
2019,1,Maine,Sacred Heart,42,14,0.0,False,Alfond Stadium,Sacred Heart,Maine,Maine,1
2019,1,Michigan State,Tulsa,28,7,0.0,False,Spartan Stadium,Tulsa,Michigan State,Michigan State,1
2019,1,Rutgers,Massachusetts,48,21,0.0,False,High Point Solutions Stadium,Massachusetts,Rutgers,Rutgers,1
2019,1,South Florida,Wisconsin,0,49,0.0,False,Raymond James Stadium,Wisconsin,South Florida,Wisconsin,0
2019,1,Wake Forest,Utah State,38,35,0.0,False,Allegacy Federal Credit Union Stadium,Utah State,Wake Forest,Wake Forest,1
2019,1,Nevada,Purdue,34,31,0.0,False,Mackay Stadium,Purdue,Nevada,Nevada,1
2019,1,Colorado,Colorado State,52,31,0.0,True,Sports Authority Field at Mile High,Colorado State,Colorado,Colorado,1
2019,1,Oregon State,Oklahoma State,36,52,0.0,False,Reser Stadium,Oklahoma State,Oregon State,Oklahoma State,0
2019,1,Illinois,Akron,42,3,0.0,False,"Memorial Stadium (Champaign, IL)",Akron,Illinois,Illinois,1
2019,1,NC State,East Carolina,34,6,0.0,False,Carter-Finley Stadium,East Carolina,NC State,NC State,1
2019,1,Kentucky,Toledo,38,24,0.0,False,Kroger Field,Toledo,Kentucky,Kentucky,1
2019,1,Kansas,Indiana State,24,17,0.0,False,Memorial Stadium,Indiana State,Kansas,Kansas,1
2019,1,Maryland,Howard,79,0,0.0,False,SECU Stadium,Howard,Maryland,Maryland,1
2019,1,Louisiana,Mississippi State,28,38,0.0,True,Caesars Superdome,Mississippi State,Louisiana,Mississippi State,0
2019,1,Florida State,Boise State,31,36,0.0,False,Doak Campbell Stadium,Boise State,Florida State,Boise State,0
2019,1,Ball State,Indiana,24,34,0.0,True,Lucas Oil Stadium,Indiana,Ball State,Indiana,0
2019,1,Ohio State,Florida Atlantic,45,21,0.0,False,Ohio Stadium,Florida Atlantic,Ohio State,Ohio State,1
2019,1,Nebraska,South Alabama,35,21,0.0,False,"Memorial Stadium (Lincoln, NE)",South Alabama,Nebraska,Nebraska,1
2019,1,Memphis,Ole Miss,15,10,0.0,False,Simmons Bank Liberty Stadium,Ole Miss,Memphis,Memphis,1
2019,1,Iowa State,Northern Iowa,29,26,0.0,False,Jack Trice Stadium,Northern Iowa,Iowa State,Iowa State,1
2019,1,Lehigh,St. Francis (PA),13,14,0.0,False,Goodman Stadium,St. Francis (PA),Lehigh,St. Francis (PA),0
2019,1,Furman,Charleston Southern,46,13,0.0,False,Paladin Stadium,Charleston Southern,Furman,Furman,1
2019,1,Davidson,Georgetown,27,20,0.0,False,Richardson Stadium,Georgetown,Davidson,Davidson,1
2019,1,Ohio,Rhode Island,41,20,0.0,False,Peden Stadium,Rhode Island,Ohio,Ohio,1
2019,1,West Virginia,James Madison,20,13,0.0,False,Milan Puskar Stadium,James Madison,West Virginia,West Virginia,1
2019,1,Temple,Bucknell,56,12,0.0,False,Lincoln Financial Field,Bucknell,Temple,Temple,1
2019,1,Merrimack,Virginia University Of Lynchburg,45,14,0.0,False,Duane Stadium,Virginia University Of Lynchburg,Merrimack,Merrimack,1
2019,1,South Dakota,Montana,17,31,0.0,False,DakotaDome,Montana,South Dakota,Montana,0
2019,1,The Citadel,Towson,21,28,0.0,False,Johnson Hagood Stadium,Towson,The Citadel,Towson,0
2019,1,Washington,Eastern Washington,47,14,0.0,False,Husky Stadium,Eastern Washington,Washington,Washington,1
2019,1,North Carolina,South Carolina,24,20,0.0,True,Bank of America Stadium,South Carolina,North Carolina,North Carolina,1
2019,1,Navy,Holy Cross,45,7,0.0,False,Navy-Marine Corps Memorial Stadium,Holy Cross,Navy,Navy,1
2019,1,App State,East Tennessee State,42,7,0.0,False,Kidd Brewer Stadium,East Tennessee State,App State,App State,1
2019,1,Coastal Carolina,Eastern Michigan,23,30,0.0,False,Brooks Stadium (SC),Eastern Michigan,Coastal Carolina,Eastern Michigan,0
2019,1,Air Force,Colgate,48,7,0.0,False,Falcon Stadium,Colgate,Air Force,Air Force,1
2019,1,Penn State,Idaho,79,7,0.0,False,Beaver Stadium,Idaho,Penn State,Penn State,1
2019,1,Alabama,Duke,42,3,0.0,True,Mercedes-Benz Stadium,Duke,Alabama,Alabama,1
2019,1,Tennessee,Georgia State,30,38,0.0,False,Neyland Stadium,Georgia State,Tennessee,Georgia State,0
2019,1,Boston College,Virginia Tech,35,28,0.0,False,"Alumni Stadium (Chestnut Hill, MA)",Virginia Tech,Boston College,Boston College,1
2019,1,Texas Tech,Montana State,45,10,0.0,False,Jones AT&T Stadium,Montana State,Texas Tech,Texas Tech,1
2019,1,Stanford,Northwestern,17,7,0.0,False,Stanford Stadium,Northwestern,Stanford,Stanford,1
2019,1,North Dakota State,Butler,57,10,0.0,False,Target Field,Butler,North Dakota State,North Dakota State,1
2019,1,Arkansas,Portland State,20,13,0.0,False,Razorback Stadium,Portland State,Arkansas,Arkansas,1
2019,1,Cal Poly,San Diego,52,34,0.0,False,Alex G. Spanos Stadium,San Diego,Cal Poly,Cal Poly,1
2019,1,North Dakota,Drake,47,7,0.0,False,Alerus Center,Drake,North Dakota,North Dakota,1
2019,1,Troy,Campbell,43,14,0.0,False,Veterans Memorial Stadium (AL),Campbell,Troy,Troy,1
2019,1,Liberty,Syracuse,0,24,0.0,False,Williams Stadium (VA),Syracuse,Liberty,Syracuse,0
2019,1,Kennesaw State,Point University,59,0,0.0,False,Fifth Third Stadium,Point University,Kennesaw State,Kennesaw State,1
2019,1,Hampton,Elizabeth City State,65,7,0.0,False,Armstrong Stadium,Elizabeth City State,Hampton,Hampton,1
2019,1,UTSA,Incarnate Word,35,7,0.0,False,Alamodome,Incarnate Word,UTSA,UTSA,1
2019,1,Fordham,Central Connecticut,23,26,0.0,False,Coffey Field,Central Connecticut,Fordham,Central Connecticut,0
2019,1,Western Carolina,Mercer,27,49,0.0,False,E. J. Whitmire Stadium,Mercer,Western Carolina,Mercer,0
2019,1,South Carolina State,Wofford,28,13,0.0,False,Oliver C. Dawson Stadium,Wofford,South Carolina State,South Carolina State,1
2019,1,William & Mary,Lafayette,30,17,0.0,False,Zable Stadium,Lafayette,William & Mary,William & Mary,1
2019,1,North Carolina A&T,Elon,24,21,0.0,False,Aggie Stadium,Elon,North Carolina A&T,North Carolina A&T,1
2019,1,New Mexico,Sam Houston,39,31,0.0,False,University Stadium (NM),Sam Houston,New Mexico,New Mexico,1
2019,1,Texas Southern,Prairie View A&M,23,44,0.0,False,BBVA Compass Stadium,Prairie View A&M,Texas Southern,Prairie View A&M,0
2019,1,Marshall,VMI,56,17,0.0,False,Joan C. Edwards Stadium,VMI,Marshall,Marshall,1
2019,1,California,UC Davis,27,13,0.0,False,California Memorial Stadium,UC Davis,California,California,1
2019,1,Baylor,Stephen F. Austin,56,17,0.0,False,McLane Stadium,Stephen F. Austin,Baylor,Baylor,1
2019,1,Western Michigan,Monmouth,48,13,0.0,False,Waldo Stadium,Monmouth,Western Michigan,Western Michigan,1
2019,1,Northern Illinois,Illinois State,24,10,0.0,False,Huskie Stadium,Illinois State,Northern Illinois,Northern Illinois,1
2019,1,Southern Miss,Alcorn State,38,10,0.0,False,M. M. Roberts Stadium,Alcorn State,Southern Miss,Southern Miss,1
2019,1,Kansas State,Nicholls,49,14,0.0,False,Bill Snyder Family Stadium,Nicholls,Kansas State,Kansas State,1
2019,1,Arkansas State,SMU,30,37,0.0,False,Centennial Bank Stadium,SMU,Arkansas State,SMU,0
2019,1,Old Dominion,Norfolk State,24,21,0.0,False,S.B. Ballard Stadium,Norfolk State,Old Dominion,Old Dominion,1
2019,1,Tennessee State,Mississippi Valley State,26,20,0.0,False,Nissan Stadium,Mississippi Valley State,Tennessee State,Tennessee State,1
2019,1,Tennessee Tech,Samford,59,58,0.0,False,Tucker Stadium,Samford,Tennessee Tech,Tennessee Tech,1
2019,1,McNeese,Southern,34,28,0.0,False,Cowboy Stadium,Southern,McNeese,McNeese,1
2019,1,Pittsburgh,Virginia,14,30,0.0,False,Acrisure Stadium,Virginia,Pittsburgh,Virginia,0
2019,1,LSU,Georgia Southern,55,3,0.0,False,Tiger Stadium (LA),Georgia Southern,LSU,LSU,1
2019,1,Wyoming,Missouri,37,31,0.0,False,War Memorial Stadium,Missouri,Wyoming,Wyoming,1
2019,1,North Texas,Abilene Christian,51,31,0.0,False,DATCU Stadium,Abilene Christian,North Texas,North Texas,1
2019,1,Auburn,Oregon,27,21,0.0,True,AT&T Stadium,Oregon,Auburn,Auburn,1
2019,1,Michigan,Middle Tennessee,40,21,0.0,False,Michigan Stadium,Middle Tennessee,Michigan,Michigan,1
2019,1,Vanderbilt,Georgia,6,30,0.0,False,FirstBank Stadium,Georgia,Vanderbilt,Georgia,0
2019,1,Iowa,Miami (OH),38,14,0.0,False,Kinnick Stadium,Miami (OH),Iowa,Iowa,1
2019,1,TCU,Arkansas-Pine Bluff,39,7,0.0,False,Amon G. Carter Stadium,Arkansas-Pine Bluff,TCU,TCU,1
2019,1,UL Monroe,Grambling,31,9,0.0,False,Malone Stadium,Grambling,UL Monroe,UL Monroe,1
2019,1,UTEP,Houston Christian,36,34,0.0,False,Sun Bowl,Houston Christian,UTEP,UTEP,1
2019,1,Texas,Louisiana Tech,45,14,0.0,False,DKR-Texas Memorial Stadium,Louisiana Tech,Texas,Texas,1
2019,1,Sacramento State,Southern Oregon,77,19,0.0,False,Hornet Stadium,Southern Oregon,Sacramento State,Sacramento State,1
2019,1,San Diego State,Weber State,6,0,0.0,False,Qualcomm Stadium,Weber State,San Diego State,San Diego State,1
2019,1,UNLV,Southern Utah,56,23,0.0,False,Sam Boyd Stadium,Southern Utah,UNLV,UNLV,1
2019,1,Washington State,New Mexico State,58,7,0.0,False,Gesa Field,New Mexico State,Washington State,Washington State,1
2019,1,USC,Fresno State,31,23,0.0,False,Los Angeles Memorial Coliseum,Fresno State,USC,USC,1
2019,1,Jackson State,Bethune-Cookman,15,36,0.0,False,Center Parc Stadium,Bethune-Cookman,Jackson State,Bethune-Cookman,0
2019,1,Alabama A&M,Morehouse College,35,30,0.0,False,Tom Benson Hall of Fame Stadium,Morehouse College,Alabama A&M,Alabama A&M,1
2019,1,Oklahoma,Houston,49,31,0.0,False,"Memorial Stadium (Norman, OK)",Houston,Oklahoma,Oklahoma,1
2019,1,Louisville,Notre Dame,17,35,0.0,False,L&N Federal Credit Union Stadium,Notre Dame,Louisville,Notre Dame,0
2019,2,Idaho State,Western Colorado,38,13,0.0,False,Holt Arena,Western Colorado,Idaho State,Idaho State,1
2019,2,Virginia,William & Mary,52,17,0.0,False,Scott Stadium,William & Mary,Virginia,Virginia,1
2019,2,Rice,Wake Forest,21,41,0.0,False,Rice Stadium,Wake Forest,Rice,Wake Forest,0
2019,2,Boise State,Marshall,14,7,0.0,False,Albertsons Stadium,Marshall,Boise State,Boise State,1
2019,2,Arizona State,Sacramento State,19,7,0.0,False,Mountain America Stadium,Sacramento State,Arizona State,Arizona State,1
2019,2,Pittsburgh,Ohio,20,10,0.0,False,Acrisure Stadium,Ohio,Pittsburgh,Pittsburgh,1
2019,2,Purdue,Vanderbilt,42,24,0.0,False,Ross-Ade Stadium,Vanderbilt,Purdue,Purdue,1
2019,2,Maryland,Syracuse,63,20,0.0,False,SECU Stadium,Syracuse,Maryland,Maryland,1
2019,2,Akron,UAB,20,31,0.0,False,InfoCision Stadium,UAB,Akron,UAB,0
2019,2,Virginia Tech,Old Dominion,31,17,0.0,False,Lane Stadium,Old Dominion,Virginia Tech,Virginia Tech,1
2019,2,Kent State,Kennesaw State,26,23,0.0,False,Dix Stadium,Kennesaw State,Kent State,Kent State,1
2019,2,Iowa,Rutgers,30,0,0.0,False,Kinnick Stadium,Rutgers,Iowa,Iowa,1
2019,2,Ohio State,Cincinnati,42,0,0.0,False,Ohio Stadium,Cincinnati,Ohio State,Ohio State,1
2019,2,Missouri,West Virginia,38,7,0.0,False,Memorial Stadium,West Virginia,Missouri,Missouri,1
2019,2,Memphis,Southern,55,24,0.0,False,Simmons Bank Liberty Stadium,Southern,Memphis,Memphis,1
2019,2,Michigan,Army,24,21,0.0,False,Michigan Stadium,Army,Michigan,Michigan,1
2019,2,Kansas State,Bowling Green,52,0,0.0,False,Bill Snyder Family Stadium,Bowling Green,Kansas State,Kansas State,1
2019,2,South Carolina,Charleston Southern,72,10,0.0,False,Williams-Brice Stadium,Charleston Southern,South Carolina,South Carolina,1
2019,2,Georgetown,Marist,43,3,0.0,False,Cooper Field,Marist,Georgetown,Georgetown,1
2019,2,NC State,Western Carolina,41,0,0.0,False,Carter-Finley Stadium,Western Carolina,NC State,NC State,1
2019,2,Monmouth,Lafayette,24,21,0.0,False,Kessler Stadium,Lafayette,Monmouth,Monmouth,1
2019,2,Indiana State,Dayton,35,42,0.0,False,Memorial Stadium,Dayton,Indiana State,Dayton,0
2019,2,Utah,Northern Illinois,35,17,0.0,False,Rice-Eccles Stadium,Northern Illinois,Utah,Utah,1
2019,2,Holy Cross,New Hampshire,13,10,0.0,False,Fitton Field,New Hampshire,Holy Cross,Holy Cross,1
2019,2,Robert Morris,Kentucky State,7,13,0.0,False,Joe Walton Stadium,Kentucky State,Robert Morris,Kentucky State,0
2019,2,VMI,Mars Hill,63,21,0.0,False,Alumni Memorial Field,Mars Hill,VMI,VMI,1
2019,2,Ball State,Fordham,57,29,0.0,False,Scheumann Stadium,Fordham,Ball State,Ball State,1
2019,2,Georgia Tech,South Florida,14,10,0.0,False,Bobby Dodd Stadium,South Florida,Georgia Tech,Georgia Tech,1
2019,2,Elon,The Citadel,35,28,0.0,False,Rhodes Stadium,The Citadel,Elon,Elon,1
2019,2,Youngstown State,Howard,54,28,0.0,False,Stambaugh Stadium,Howard,Youngstown State,Youngstown State,1
2019,2,Presbyterian,Mercer,7,45,0.0,False,Bailey Memorial Stadium,Mercer,Presbyterian,Mercer,0
2019,2,Miami (OH),Tennessee Tech,48,17,0.0,False,Yager Stadium,Tennessee Tech,Miami (OH),Miami (OH),1
2019,2,Austin Peay,Central Arkansas,16,24,0.0,False,Governors Stadium,Central Arkansas,Austin Peay,Central Arkansas,0
2019,2,UConn,Illinois,23,31,0.0,False,Pratt & Whitney Stadium,Illinois,UConn,Illinois,0
2019,2,Mississippi State,Southern Miss,38,15,0.0,False,Davis Wade Stadium,Southern Miss,Mississippi State,Mississippi State,1
2019,2,North Dakota State,North Dakota,38,7,0.0,False,Fargodome,North Dakota,North Dakota State,North Dakota State,1
2019,2,Colorado,Nebraska,34,31,0.0,False,Folsom Field,Nebraska,Colorado,Colorado,1
2019,2,Indiana,Eastern Illinois,52,0,0.0,False,"Memorial Stadium (Bloomington, IN)",Eastern Illinois,Indiana,Indiana,1
2019,2,Clemson,Texas A&M,24,10,0.0,False,"Memorial Stadium (Clemson, SC)",Texas A&M,Clemson,Clemson,1
2019,2,App State,Charlotte,56,41,0.0,False,Kidd Brewer Stadium,Charlotte,App State,App State,1
2019,2,Massachusetts,Southern Illinois,20,45,0.0,False,Warren McGuirk Alumni Stadium,Southern Illinois,Massachusetts,Southern Illinois,0
2019,2,Louisiana Tech,Grambling,20,14,0.0,False,Joe Aillet Stadium,Grambling,Louisiana Tech,Louisiana Tech,1
2019,2,Wisconsin,Central Michigan,61,0,0.0,False,Camp Randall Stadium,Central Michigan,Wisconsin,Wisconsin,1
2019,2,Boston College,Richmond,45,13,0.0,False,"Alumni Stadium (Chestnut Hill, MA)",Richmond,Boston College,Boston College,1
2019,2,Duquesne,Walsh,44,3,0.0,False,Arthur J. Rooney Athletic Field,Walsh,Duquesne,Duquesne,1
2019,2,South Carolina State,Lane College,34,0,0.0,False,Oliver C. Dawson Stadium,Lane College,South Carolina State,South Carolina State,1
2019,2,Colorado State,Western Illinois,38,13,0.0,False,Canvas Stadium,Western Illinois,Colorado State,Colorado State,1
2019,2,Georgia,Murray State,63,17,0.0,False,Sanford Stadium,Murray State,Georgia,Georgia,1
2019,2,Alabama,New Mexico State,62,10,0.0,False,Bryant-Denny Stadium,New Mexico State,Alabama,Alabama,1
2019,2,Baylor,UTSA,63,14,0.0,False,McLane Stadium,UTSA,Baylor,Baylor,1
2019,2,Eastern Washington,Lindenwood,59,31,0.0,False,Roos Field,Lindenwood,Eastern Washington,Eastern Washington,1
2019,2,UCLA,San Diego State,14,23,0.0,False,Rose Bowl,San Diego State,UCLA,San Diego State,0
2019,2,Washington State,Northern Colorado,59,17,0.0,False,Gesa Field,Northern Colorado,Washington State,Washington State,1
2019,2,San Diego,UC Davis,35,38,0.0,False,Torero Stadium,UC Davis,San Diego,UC Davis,0
2019,2,Northern Iowa,Southern Utah,34,14,0.0,False,UNI-Dome,Southern Utah,Northern Iowa,Northern Iowa,1
2019,2,Florida State,UL Monroe,45,44,0.0,False,Doak Campbell Stadium,UL Monroe,Florida State,Florida State,1
2019,2,Portland State,Simon Fraser,70,7,0.0,False,Hillsboro Stadium,Simon Fraser,Portland State,Portland State,1
2019,2,Norfolk State,Virginia St,44,21,0.0,False,"William Dick"""" Price Stadium""""",Virginia St,Norfolk State,Norfolk State,1
2019,2,Wagner,East Stroudsburg University,14,24,0.0,False,Wagner College Stadium,East Stroudsburg University,Wagner,East Stroudsburg University,0
2019,2,Hampton,Virginia Union,17,36,0.0,False,Armstrong Stadium,Virginia Union,Hampton,Virginia Union,0
2019,2,Campbell,Shaw,38,14,0.0,False,Barker-Lane Stadium,Shaw,Campbell,Campbell,1
2019,2,Butler,Indiana Wesleyan,30,27,0.0,False,Butler Bowl,Indiana Wesleyan,Butler,Butler,1
2019,2,Davidson,Virginia University Of Lynchburg,45,7,0.0,False,Richardson Stadium,Virginia University Of Lynchburg,Davidson,Davidson,1
2019,2,Duke,North Carolina A&T,45,13,0.0,False,Wallace Wade Stadium,North Carolina A&T,Duke,Duke,1
2019,2,Stetson,Louisiana College,58,13,0.0,False,Spec Martin Municipal Stadium,Louisiana College,Stetson,Stetson,1
2019,2,Alabama State,Tuskegee,38,31,0.0,False,Hornet Stadium,Tuskegee,Alabama State,Alabama State,1
2019,2,Georgia Southern,Maine,26,18,0.0,False,Allen E. Paulson Stadium,Maine,Georgia Southern,Georgia Southern,1
2019,2,East Carolina,Gardner-Webb,48,9,0.0,False,Dowdy-Ficklen Stadium,Gardner-Webb,East Carolina,East Carolina,1
2019,2,Central Connecticut,Merrimack,40,37,0.0,False,Arute Field,Merrimack,Central Connecticut,Central Connecticut,1
2019,2,Sacred Heart,Bucknell,30,10,0.0,False,Campus Field,Bucknell,Sacred Heart,Sacred Heart,1
2019,2,Towson,North Carolina Central,42,3,0.0,False,Johnny Unitas Stadium,North Carolina Central,Towson,Towson,1
2019,2,Villanova,Lehigh,38,10,0.0,False,Villanova Stadium,Lehigh,Villanova,Villanova,1
2019,2,James Madison,St. Francis (PA),44,7,0.0,False,Bridgeforth Stadium,St. Francis (PA),James Madison,James Madison,1
2019,2,Louisville,Eastern Kentucky,42,0,0.0,False,L&N Federal Credit Union Stadium,Eastern Kentucky,Louisville,Louisville,1
2019,2,Rhode Island,Delaware,36,44,0.0,False,Meade Stadium,Delaware,Rhode Island,Delaware,0
2019,2,UAlbany,Bryant,45,3,0.0,False,Bob Ford Field,Bryant,UAlbany,UAlbany,1
2019,2,South Dakota State,Long Island University,38,3,0.0,False,Dana J. Dykhouse Stadium,Long Island University,South Dakota State,South Dakota State,1
2019,2,Jacksonville State,Chattanooga,41,20,0.0,False,AmFirst Stadium,Chattanooga,Jacksonville State,Jacksonville State,1
2019,2,Alabama A&M,Arkansas-Pine Bluff,34,52,0.0,False,Louis Crews Stadium,Arkansas-Pine Bluff,Alabama A&M,Arkansas-Pine Bluff,0
2019,2,Texas State,Wyoming,14,23,0.0,False,Bobcat Stadium (TX),Wyoming,Texas State,Wyoming,0
2019,2,Lamar,Mississippi Valley State,23,20,0.0,False,Provost Umphrey Stadium,Mississippi Valley State,Lamar,Lamar,1
2019,2,Incarnate Word,Texas Southern,63,44,0.0,False,Gayle and Tom Benson Stadium,Texas Southern,Incarnate Word,Incarnate Word,1
2019,2,Oklahoma,South Dakota,70,14,0.0,False,"Memorial Stadium (Norman, OK)",South Dakota,Oklahoma,Oklahoma,1
2019,2,Sam Houston,Oklahoma Panhandle St,77,0,0.0,False,Elliott T. Bowers Stadium,Oklahoma Panhandle St,Sam Houston,Sam Houston,1
2019,2,Stephen F. Austin,Tarleton State,26,37,0.0,False,Homer Bryce Stadium,Tarleton State,Stephen F. Austin,Tarleton State,0
2019,2,Drake,Truman State,7,10,0.0,False,Drake Stadium,Truman State,Drake,Truman State,0
2019,2,Oklahoma State,McNeese,56,14,0.0,False,Boone Pickens Stadium,McNeese,Oklahoma State,Oklahoma State,1
2019,2,Northwestern State,Midwestern State,7,33,0.0,False,Harry Turpin Stadium,Midwestern State,Northwestern State,Midwestern State,0
2019,2,Tennessee,BYU,26,29,0.0,False,Neyland Stadium,BYU,Tennessee,BYU,0
2019,2,SMU,North Texas,49,27,0.0,False,Gerald J. Ford Stadium,North Texas,SMU,SMU,1
2019,2,Florida Atlantic,UCF,14,48,0.0,False,FAU Stadium,UCF,Florida Atlantic,UCF,0
2019,2,Middle Tennessee,Tennessee State,45,26,0.0,False,"Johnny ""Red"" Floyd Stadium",Tennessee State,Middle Tennessee,Middle Tennessee,1
2019,2,Georgia State,Furman,48,42,0.0,False,Center Parc Stadium,Furman,Georgia State,Georgia State,1
2019,2,South Alabama,Jackson State,37,14,0.0,False,Ladd Peebles Stadium,Jackson State,South Alabama,South Alabama,1
2019,2,Florida International,Western Kentucky,14,20,0.0,False,FIU Stadium,Western Kentucky,Florida International,Western Kentucky,0
2019,2,Kansas,Coastal Carolina,7,12,0.0,False,Memorial Stadium,Coastal Carolina,Kansas,Coastal Carolina,0
2019,2,Alcorn State,Mississippi College,45,7,0.0,False,Jack Spinks Stadium,Mississippi College,Alcorn State,Alcorn State,1
2019,2,Abilene Christian,Phoenix,66,14,0.0,False,Wildcat Stadium (TX),Phoenix,Abilene Christian,Abilene Christian,1
2019,2,Houston Christian,Texas Wesleyan,58,13,0.0,False,Husky Stadium,Texas Wesleyan,Houston Christian,Houston Christian,1
2019,2,Kentucky,Eastern Michigan,38,17,0.0,False,Kroger Field,Eastern Michigan,Kentucky,Kentucky,1
2019,2,Louisiana,Liberty,35,14,0.0,False,Cajun Field,Liberty,Louisiana,Louisiana,1
2019,2,Illinois State,Morehead State,42,14,0.0,False,Hancock Stadium,Morehead State,Illinois State,Illinois State,1
2019,2,East Tennessee State,Shorter,48,10,0.0,False,William B. Greene Jr. Stadium,Shorter,East Tennessee State,East Tennessee State,1
2019,2,Utah State,Stony Brook,62,7,0.0,False,Maverik Stadium,Stony Brook,Utah State,Utah State,1
2019,2,Oregon,Nevada,77,6,0.0,False,Autzen Stadium,Nevada,Oregon,Oregon,1
2019,2,Ole Miss,Arkansas,31,17,0.0,False,Vaught-Hemingway Stadium,Arkansas,Ole Miss,Ole Miss,1
2019,2,Auburn,Tulane,24,6,0.0,False,Jordan-Hare Stadium,Tulane,Auburn,Auburn,1
2019,2,Michigan State,Western Michigan,51,17,0.0,False,Spartan Stadium,Western Michigan,Michigan State,Michigan State,1
2019,2,Florida,UT Martin,45,0,0.0,False,Ben Hill Griffin Stadium,UT Martin,Florida,Florida,1
2019,2,Texas,LSU,38,45,0.0,False,DKR-Texas Memorial Stadium,LSU,Texas,LSU,0
2019,2,Penn State,Buffalo,45,13,0.0,False,Beaver Stadium,Buffalo,Penn State,Penn State,1
